Ano;Município;Código do Município;Vínculo Funcional;Federal;Estadual;Municipal
2023;Anchieta ;3200409;Concursado/efetivo/estável;0;33;207
2023;Apiacá ;3200508;Concursado/efetivo/estável;0;6;67
2023;Aracruz ;3200607;Concursado/efetivo/estável;39;70;466
2023;Atílio Vivácqua ;3200706;Concursado/efetivo/estável;0;7;61
2023;Baixo Guandu ;3200805;Concursado/efetivo/estável;0;28;151
2023;Barra de São Francisco ;3200904;Concursado/efetivo/estável;19;18;109
2023;Boa Esperança ;3201001;Concursado/efetivo/estável;0;16;68
2023;Bom Jesus do Norte ;3201100;Concursado/efetivo/estável;0;8;43
2023;Brejetuba ;3201159;Concursado/efetivo/estável;0;11;51
2023;Cachoeiro de Itapemirim ;3201209;Concursado/efetivo/estável;60;220;402
2023;Cariacica ;3201308;Concursado/efetivo/estável;64;347;1703
2023;Castelo ;3201407;Concursado/efetivo/estável;0;33;146
2023;Colatina ;3201506;Concursado/efetivo/estável;117;74;530
2023;Conceição da Barra ;3201605;Concursado/efetivo/estável;0;23;104
2023;Conceição do Castelo ;3201704;Concursado/efetivo/estável;0;14;32
2023;Divino de São Lourenço ;3201803;Concursado/efetivo/estável;0;1;4
2023;Domingos Martins ;3201902;Concursado/efetivo/estável;0;25;87
2023;Dores do Rio Preto ;3202009;Concursado/efetivo/estável;0;21;16
2023;Ecoporanga ;3202108;Concursado/efetivo/estável;0;18;118
2023;Fundão ;3202207;Concursado/efetivo/estável;0;6;87
2023;Governador Lindenberg ;3202256;Concursado/efetivo/estável;0;11;29
2023;Guaçuí ;3202306;Concursado/efetivo/estável;0;15;105
2023;Guarapari ;3202405;Concursado/efetivo/estável;53;110;572
2023;Ibatiba ;3202454;Concursado/efetivo/estável;34;19;82
2023;Ibiraçu ;3202504;Concursado/efetivo/estável;0;18;62
2023;Ibitirama ;3202553;Concursado/efetivo/estável;0;8;46
2023;Iconha ;3202603;Concursado/efetivo/estável;0;9;22
2023;Irupi ;3202652;Concursado/efetivo/estável;0;9;73
2023;Itaguaçu ;3202702;Concursado/efetivo/estável;0;25;20
2023;Itapemirim ;3202801;Concursado/efetivo/estável;0;42;191
2023;Itarana ;3202900;Concursado/efetivo/estável;0;18;10
2023;Iúna ;3203007;Concursado/efetivo/estável;0;28;69
2023;Jaguaré ;3203056;Concursado/efetivo/estável;0;21;136
2023;Jerônimo Monteiro ;3203106;Concursado/efetivo/estável;0;11;36
2023;João Neiva ;3203130;Concursado/efetivo/estável;0;10;77
2023;Laranja da Terra ;3203163;Concursado/efetivo/estável;0;11;36
2023;Linhares ;3203205;Concursado/efetivo/estável;53;131;1295
2023;Mantenópolis ;3203304;Concursado/efetivo/estável;0;16;51
2023;Marataízes ;3203320;Concursado/efetivo/estável;0;32;386
2023;Marechal Floriano ;3203346;Concursado/efetivo/estável;0;25;25
2023;Marilândia ;3203353;Concursado/efetivo/estável;0;9;50
2023;Mimoso do Sul ;3203403;Concursado/efetivo/estável;0;35;74
2023;Montanha ;3203502;Concursado/efetivo/estável;26;21;35
2023;Mucurici ;3203601;Concursado/efetivo/estável;0;2;27
2023;Muniz Freire ;3203700;Concursado/efetivo/estável;0;10;48
2023;Muqui ;3203809;Concursado/efetivo/estável;0;14;50
2023;Nova Venécia ;3203908;Concursado/efetivo/estável;41;27;204
2023;Pancas ;3204005;Concursado/efetivo/estável;0;14;44
2023;Pedro Canário ;3204054;Concursado/efetivo/estável;0;29;66
2023;Pinheiros ;3204104;Concursado/efetivo/estável;0;10;127
2023;Piúma ;3204203;Concursado/efetivo/estável;39;20;98
2023;Ponto Belo ;3204252;Concursado/efetivo/estável;0;6;23
2023;Presidente Kennedy ;3204302;Concursado/efetivo/estável;0;8;54
2023;Rio Bananal ;3204351;Concursado/efetivo/estável;0;11;98
2023;Rio Novo do Sul ;3204401;Concursado/efetivo/estável;0;18;48
2023;Santa Leopoldina ;3204500;Concursado/efetivo/estável;0;7;53
2023;Santa Maria de Jetibá ;3204559;Concursado/efetivo/estável;24;35;142
2023;Santa Teresa ;3204609;Concursado/efetivo/estável;56;21;33
2023;São Domingos do Norte ;3204658;Concursado/efetivo/estável;0;4;18
2023;São Gabriel da Palha ;3204708;Concursado/efetivo/estável;0;22;96
2023;São José do Calçado ;3204807;Concursado/efetivo/estável;0;11;14
2023;São Mateus ;3204906;Concursado/efetivo/estável;48;134;470
2023;São Roque do Canaã ;3204955;Concursado/efetivo/estável;0;8;47
2023;Serra ;3205002;Concursado/efetivo/estável;57;496;1370
2023;Sooretama ;3205010;Concursado/efetivo/estável;0;11;134
2023;Vargem Alta ;3205036;Concursado/efetivo/estável;0;12;69
2023;Venda Nova do Imigrante ;3205069;Concursado/efetivo/estável;45;43;77
2023;Viana ;3205101;Concursado/efetivo/estável;20;49;305
2023;Vila Pavão ;3205150;Concursado/efetivo/estável;0;9;46
2023;Vila Valério ;3205176;Concursado/efetivo/estável;0;11;56
2023;Vila Velha ;3205200;Concursado/efetivo/estável;35;363;2283
2023;Vitória ;3205309;Concursado/efetivo/estável;243;248;1895
2023;Afonso Cláudio ;3200102;Contrato Temporário;0;138;135
2023;Água Doce do Norte ;3200169;Contrato Temporário;0;58;60
2023;Águia Branca ;3200136;Contrato Temporário;0;56;110
2023;Alegre ;3200201;Contrato Temporário;7;157;78
2023;Alfredo Chaves ;3200300;Contrato Temporário;0;28;95
2023;Alto Rio Novo ;3200359;Contrato Temporário;0;31;41
2023;Anchieta ;3200409;Contrato Temporário;0;61;277
2023;Apiacá ;3200508;Contrato Temporário;0;21;3
2023;Aracruz ;3200607;Contrato Temporário;10;223;354
2023;Atílio Vivácqua ;3200706;Contrato Temporário;0;30;86
2023;Baixo Guandu ;3200805;Contrato Temporário;0;57;167
2023;Barra de São Francisco ;3200904;Contrato Temporário;5;174;19
2023;Boa Esperança ;3201001;Contrato Temporário;0;85;106
2023;Bom Jesus do Norte ;3201100;Contrato Temporário;0;15;40
2023;Brejetuba ;3201159;Contrato Temporário;0;94;63
2023;Cachoeiro de Itapemirim ;3201209;Contrato Temporário;9;533;882
2023;Cariacica ;3201308;Contrato Temporário;5;795;1310
2023;Castelo ;3201407;Contrato Temporário;0;60;252
2023;Colatina ;3201506;Contrato Temporário;19;222;390
2023;Conceição da Barra ;3201605;Contrato Temporário;0;119;217
2023;Conceição do Castelo ;3201704;Contrato Temporário;0;54;85
2023;Divino de São Lourenço ;3201803;Contrato Temporário;0;27;32
2023;Domingos Martins ;3201902;Contrato Temporário;0;76;311
2023;Dores do Rio Preto ;3202009;Contrato Temporário;0;46;43
2023;Ecoporanga ;3202108;Contrato Temporário;0;122;33
2023;Fundão ;3202207;Contrato Temporário;0;53;97
2023;Governador Lindenberg ;3202256;Contrato Temporário;0;77;56
2023;Guaçuí ;3202306;Contrato Temporário;0;54;181
2023;Guarapari ;3202405;Contrato Temporário;4;170;492
2023;Ibatiba ;3202454;Contrato Temporário;7;33;132
2023;Ibiraçu ;3202504;Contrato Temporário;0;51;28
2023;Ibitirama ;3202553;Contrato Temporário;0;47;67
2023;Iconha ;3202603;Contrato Temporário;0;36;69
2023;Irupi ;3202652;Contrato Temporário;0;39;31
2023;Itaguaçu ;3202702;Contrato Temporário;0;41;93
2023;Itapemirim ;3202801;Contrato Temporário;0;90;421
2023;Itarana ;3202900;Contrato Temporário;0;38;84
2023;Iúna ;3203007;Contrato Temporário;0;98;172
